frame,droplet_count,mean_net_intensity,median_net_intensity,high_count,medium_count,low_count
0.0,92,56.84456521739131,49.500000000000014,36,30,26
1.0,93,57.38602150537635,50.0,37,35,21
2.0,89,56.867415730337086,51.0,39,32,18
3.0,89,56.4932584269663,51.400000000000006,42,25,22
4.0,92,54.99239130434783,50.2,38,29,25
5.0,90,53.74111111111112,49.8,32,33,25
6.0,95,55.60842105263159,49.60000000000002,42,28,25
7.0,89,53.64831460674158,48.00000000000003,31,37,21
8.0,96,55.179166666666674,49.0,38,29,29
9.0,86,51.89069767441861,46.150000000000006,29,23,34
10.0,88,54.929545454545455,49.2,37,32,19
11.0,84,49.99166666666667,44.70000000000002,25,24,35
12.0,97,55.20309278350516,50.400000000000006,40,32,25
13.0,96,54.35520833333334,49.500000000000014,38,33,25
14.0,90,56.576666666666675,50.7,42,27,21
15.0,93,55.07741935483872,49.5,42,25,26
16.0,85,52.79294117647059,47.60000000000002,34,25,26
17.0,77,53.60389610389612,51.0,29,29,19
18.0,96,53.959375,47.60000000000002,33,36,27
19.0,93,55.20645161290324,49.19999999999999,37,32,24
20.0,99,55.67878787878789,49.400000000000034,42,31,26
21.0,101,54.44059405940595,49.19999999999999,39,35,27
22.0,94,55.550000000000004,50.400000000000006,42,36,16
23.0,101,53.55148514851486,49.0,39,30,32
24.0,105,54.30571428571429,50.0,42,33,30
25.0,92,55.422826086956526,48.7,38,30,24
26.0,95,52.613684210526316,48.400000000000006,39,24,32
27.0,96,52.01770833333334,48.500000000000014,36,26,34
28.0,83,51.2421686746988,46.400000000000006,27,25,31
29.0,88,53.55795454545455,50.099999999999994,32,33,23
30.0,86,50.976744186046524,48.55000000000001,33,24,29
31.0,85,51.66235294117647,48.400000000000006,28,28,29
32.0,73,47.09726027397261,44.19999999999999,20,24,29
33.0,84,54.130952380952394,49.550000000000026,32,28,24
34.0,86,54.74651162790698,50.099999999999994,33,32,21
35.0,79,51.583544303797474,46.400000000000006,28,24,27
36.0,79,49.798734177215195,45.19999999999999,22,29,28
37.0,89,55.65842696629214,50.400000000000006,40,26,23
38.0,90,50.348888888888894,45.80000000000001,30,32,28
39.0,86,51.72906976744187,48.400000000000006,28,31,27
40.0,85,51.812941176470595,48.900000000000006,33,22,30
41.0,82,51.52439024390245,47.900000000000006,27,30,25
42.0,95,53.017894736842116,47.80000000000001,32,35,28
43.0,87,52.07816091954023,48.19999999999999,30,32,25
44.0,87,49.04367816091954,44.0,25,25,37
45.0,83,47.842168674698804,47.19999999999999,24,27,32
46.0,89,51.815730337078655,48.70000000000002,29,35,25
47.0,85,49.88235294117648,46.0,23,31,31
48.0,79,48.20000000000001,44.0,19,27,33
49.0,85,52.06588235294118,46.60000000000002,28,29,28
50.0,91,52.77362637362638,48.0,33,34,24
51.0,82,48.050000000000004,43.349999999999994,20,26,36
52.0,85,51.39764705882353,47.0,27,32,26
53.0,82,52.59512195121951,48.900000000000006,36,16,30
54.0,66,45.05303030303031,42.19999999999999,17,15,34
55.0,47,44.58297872340426,42.0,9,13,25
56.0,74,47.93783783783785,44.75,19,24,31
57.0,81,52.488888888888894,47.19999999999999,27,31,23
58.0,70,45.10285714285715,41.650000000000006,16,16,38
59.0,70,48.63285714285715,45.000000000000014,19,22,29
60.0,86,52.068604651162794,47.500000000000014,28,32,26
61.0,87,50.50000000000001,47.19999999999999,25,33,29
62.0,102,50.26568627450981,46.400000000000006,27,39,36
63.0,92,52.1608695652174,48.55000000000001,28,37,27
64.0,80,49.66375000000001,44.19999999999999,26,20,34
65.0,93,52.336559139784946,47.60000000000002,33,31,29
66.0,82,52.66951219512196,47.5,27,30,25
67.0,78,47.553846153846166,43.2,22,18,38
68.0,75,49.288000000000004,45.900000000000006,23,23,29
69.0,91,49.44945054945055,45.19999999999999,28,26,37
70.0,92,50.9,46.2,27,32,33
71.0,84,49.63571428571429,45.0,27,25,32
72.0,89,50.415730337078664,46.0,27,30,32
73.0,84,50.56904761904762,46.400000000000006,25,28,31
74.0,91,50.798901098901105,45.60000000000002,28,27,36
75.0,78,49.90641025641027,43.900000000000006,22,26,30
76.0,73,47.250684931506854,42.60000000000002,16,20,37
77.0,80,49.99250000000001,45.900000000000006,24,25,31
78.0,93,51.29569892473119,45.60000000000002,32,27,34
79.0,80,52.01250000000001,46.500000000000014,31,24,25
80.0,60,47.830000000000005,44.0,17,17,26
81.0,80,49.088750000000005,46.5,23,32,25
82.0,85,51.390588235294125,47.80000000000001,31,24,30
83.0,83,50.05421686746989,44.60000000000002,24,26,33
84.0,70,47.38,42.95,17,19,34
85.0,71,45.69718309859156,44.0,14,27,30
86.0,79,46.63037974683545,43.19999999999999,17,23,39
87.0,91,50.04285714285715,45.10000000000002,29,24,38
88.0,77,50.73506493506494,45.0,23,28,26
