small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.2,11.0,20.5,5,31.0,9.0,0.9227504244482173,0.8297709923664122,0.8737942122186495,1087,91,223,9.571428571428571,14,0.8642227836472209
1.2,11.0,20.0,5,29.0,11.0,0.9452296819787986,0.816793893129771,0.8763308763308764,1070,62,240,12.714285714285714,14,0.8636165906165907
1.2,11.0,20.5,6,31.0,9.0,0.9249146757679181,0.8274809160305343,0.8734891216760676,1084,88,226,10.0,14,0.8634891216760676
1.2,9.0,19.5,5,29.0,11.0,0.9427816901408451,0.8175572519083969,0.8757154538021258,1071,65,239,12.428571428571429,14,0.8632868823735543
1.2,11.0,20.5,5,29.0,9.0,0.918918918918919,0.8305343511450382,0.8724939855653568,1088,96,222,9.285714285714286,14,0.8632082712796425
1.2,11.0,21.0,6,31.0,9.0,0.9332755632582322,0.8221374045801527,0.8741883116883117,1077,77,233,11.142857142857142,14,0.8630454545454546
1.2,11.0,21.0,6,29.0,9.0,0.9309153713298791,0.8229007633587786,0.873581847649919,1078,80,232,10.857142857142858,14,0.8627247047927761
1.2,11.0,20.0,5,31.0,11.0,0.9451327433628318,0.815267175572519,0.8754098360655738,1068,62,242,12.857142857142858,14,0.8625526932084309
1.2,11.0,20.5,6,29.0,9.0,0.9210526315789473,0.8282442748091603,0.8721864951768489,1085,93,225,9.714285714285714,14,0.8624722094625632
1.2,11.0,21.0,5,31.0,9.0,0.9301121656600517,0.8229007633587786,0.8732280275415147,1078,81,232,10.785714285714286,14,0.8624423132558005
1.2,11.0,21.0,6,27.0,9.0,0.9301121656600517,0.8229007633587786,0.8732280275415147,1078,81,232,10.785714285714286,14,0.8624423132558005
1.2,9.0,21.0,5,31.0,9.0,0.9387040280210157,0.8183206106870229,0.8743882544861337,1072,70,238,12.0,14,0.8623882544861337
1.2,9.0,19.5,5,31.0,11.0,0.9426807760141094,0.816030534351145,0.874795417348609,1069,65,241,12.571428571428571,14,0.8622239887771804
1.2,11.0,21.0,5,29.0,9.0,0.9277730008598453,0.8236641221374046,0.8726243429033563,1079,84,231,10.5,14,0.8621243429033564
1.2,9.0,21.0,5,29.0,9.0,0.9363001745200699,0.8190839694656489,0.8737785016286646,1073,73,237,11.714285714285714,14,0.8620642159143789
1.2,9.0,21.0,6,31.0,9.0,0.9402460456942003,0.816793893129771,0.8741830065359478,1070,68,240,12.285714285714286,14,0.8618972922502336
1.2,11.0,21.0,5,27.0,9.0,0.9269759450171822,0.8236641221374046,0.872271624898949,1079,85,231,10.428571428571429,14,0.8618430534703776
1.2,11.0,19.5,5,29.0,11.0,0.9370629370629371,0.8183206106870229,0.8736756316218419,1072,72,238,11.857142857142858,14,0.861818488764699
1.2,9.0,21.0,5,27.0,9.0,0.9354838709677419,0.8190839694656489,0.8734228734228734,1073,74,237,11.642857142857142,14,0.8617800162800162
1.2,11.0,20.5,5,27.0,9.0,0.9157540016849199,0.8297709923664122,0.8706447737284743,1087,100,223,9.071428571428571,14,0.8615733451570456
1.2,9.0,21.0,6,29.0,9.0,0.9378283712784589,0.8175572519083969,0.8735725938009787,1071,71,239,12.0,14,0.8615725938009787
1.2,11.0,20.0,5,27.0,11.0,0.9417989417989417,0.815267175572519,0.8739770867430442,1068,66,242,12.571428571428571,14,0.8614056581716156
1.2,9.0,21.0,6,27.0,9.0,0.937007874015748,0.8175572519083969,0.8732164696290257,1071,72,239,11.928571428571429,14,0.8612878982004543
1.2,9.0,20.0,5,29.0,11.0,0.9458259325044405,0.8129770992366412,0.874384236453202,1065,61,245,13.142857142857142,14,0.8612413793103448
1.2,9.0,19.5,6,29.0,11.0,0.9425795053003534,0.8145038167938932,0.8738738738738739,1067,65,243,12.714285714285714,14,0.8611595881595883
