small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.0,11.0,19.5,5,27.0,9.0,0.9421265141318977,0.5343511450381679,0.6819288845591817,700,43,610,41.642857142857146,14,0.6402860274163245
1.0,11.0,19.5,6,27.0,9.0,0.941970310391363,0.5328244274809161,0.6806435884934179,698,43,612,41.785714285714285,14,0.6388578742077036
1.0,11.0,19.5,5,29.0,9.0,0.9391891891891891,0.5305343511450382,0.6780487804878049,695,45,615,41.42857142857143,14,0.6366202090592334
1.0,11.0,19.5,6,29.0,9.0,0.9390243902439024,0.5290076335877862,0.6767578125,693,45,617,41.57142857142857,14,0.6351863839285714
1.0,9.0,19.5,5,27.0,9.0,0.9411764705882353,0.5251908396946565,0.6741793238608526,688,43,622,42.357142857142854,14,0.6318221810037097
1.0,9.0,19.5,6,27.0,9.0,0.9410150891632373,0.5236641221374045,0.6728788621873467,686,43,624,42.5,14,0.6303788621873467
1.0,9.0,19.5,5,29.0,9.0,0.9409340659340659,0.5229007633587787,0.6722276741903828,685,43,625,42.142857142857146,14,0.6300848170475256
1.0,11.0,20.0,5,29.0,9.0,0.9472222222222222,0.5206106870229008,0.6719211822660099,682,38,628,42.57142857142857,14,0.6293497536945813
1.0,11.0,20.0,5,27.0,9.0,0.9446749654218534,0.5213740458015267,0.6719134284308903,683,40,627,42.785714285714285,14,0.629127714145176
1.0,9.0,19.5,6,29.0,9.0,0.940771349862259,0.5213740458015267,0.6709233791748526,683,43,627,42.285714285714285,14,0.6286376648891383
1.0,11.0,19.5,5,31.0,9.0,0.9357045143638851,0.5221374045801527,0.6702596766291034,684,47,626,41.642857142857146,14,0.6286168194862463
1.0,11.0,20.0,6,29.0,9.0,0.947075208913649,0.5190839694656488,0.6706114398422091,680,38,630,42.714285714285715,14,0.6278971541279234
1.0,11.0,20.0,6,27.0,9.0,0.9445214979195562,0.5198473282442748,0.6706056129985228,681,40,629,42.92857142857143,14,0.6276770415699514
1.0,11.0,19.5,6,31.0,9.0,0.9355281207133059,0.5206106870229008,0.6689553702795489,682,47,628,41.785714285714285,14,0.6271696559938346
1.0,9.0,19.5,5,31.0,9.0,0.9401947148817803,0.516030534351145,0.6663380975850172,676,43,634,42.357142857142854,14,0.6239809547278743
1.0,9.0,19.5,6,31.0,9.0,0.9400278940027894,0.5145038167938931,0.6650222002960039,674,43,636,42.5,14,0.6225222002960039
1.0,11.0,19.5,5,29.0,11.0,0.9637155297532656,0.5068702290076336,0.6643321660830415,664,25,646,44.357142857142854,14,0.6199750232258986
1.0,11.0,19.5,5,27.0,11.0,0.9623188405797102,0.5068702290076336,0.6639999999999999,664,26,646,44.285714285714285,14,0.6197142857142857
1.0,11.0,20.0,5,31.0,9.0,0.9409282700421941,0.5106870229007634,0.6620484908461158,669,42,641,42.785714285714285,14,0.6192627765604015
1.0,11.0,19.5,6,29.0,11.0,0.9636098981077147,0.5053435114503817,0.6629944917376064,662,25,648,44.5,14,0.6184944917376064
1.0,11.0,19.5,6,27.0,11.0,0.9622093023255814,0.5053435114503817,0.6626626626626627,662,26,648,44.42857142857143,14,0.6182340912340913
1.0,9.0,20.0,5,27.0,9.0,0.9460992907801419,0.5091603053435114,0.6620347394540942,667,38,643,43.92857142857143,14,0.6181061680255228
1.0,11.0,20.0,6,31.0,9.0,0.9407616361071932,0.5091603053435114,0.6607231302625061,667,42,643,42.92857142857143,14,0.6177945588339346
1.0,11.0,19.5,5,31.0,11.0,0.9635568513119533,0.5045801526717557,0.6623246492985972,661,25,649,44.57142857142857,14,0.6177532207271687
1.0,9.0,20.0,5,29.0,9.0,0.9472934472934473,0.5076335877862596,0.6610337972166999,665,37,645,43.714285714285715,14,0.6173195115024142
