y,x,raw_signal_mean,raw_signal_peak,raw_signal_p90,raw_background_median,net_intensity_mean,net_intensity_peak,net_intensity_p90,filtered_peak,frame,source_baseline,source_bgsub,branch_agreement,bgsub_filtered_peak,bgsub_net_intensity_p90,bgsub_net_intensity_mean,base_filtered_peak,base_net_intensity_p90,base_net_intensity_mean,candidate_id,base_prev_support,base_next_support,bg_prev_support,bg_next_support,temporal_support_sum,temporal_support_any,min_truth_distance,label,rescoring_score
78.0,273.0,136.28571428571428,212.0,172.20000000000002,113.0,23.285714285714278,99.0,59.20000000000002,42.741493225097656,0.0,1.0,1.0,1.0,42.741493225097656,59.20000000000002,23.285714285714278,42.35783386230469,59.20000000000002,23.285714285714278,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.028284271247446226,1.0,0.99676843822331
92.0,197.0,124.0204081632653,176.0,141.2,113.0,11.020408163265301,63.0,28.19999999999999,21.585718154907227,0.0,1.0,1.0,1.0,21.585718154907227,28.19999999999999,11.020408163265301,21.06163787841797,28.19999999999999,11.020408163265301,1.0,0.0,1.0,0.0,1.0,2.0,1.0,21.300539899260762,0.0,0.7953187983112053
100.0,216.0,161.42857142857142,255.0,236.20000000000002,115.0,46.428571428571416,140.0,121.20000000000002,91.02498626708984,0.0,1.0,1.0,1.0,90.04412841796875,121.20000000000002,46.428571428571416,91.02498626708984,121.20000000000002,46.428571428571416,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.7021395872616708,1.0,0.9999995122340121
100.0,358.0,123.89795918367346,159.0,146.2,114.0,9.897959183673464,45.0,32.19999999999999,22.58634376525879,0.0,1.0,1.0,1.0,22.58634376525879,32.19999999999999,9.897959183673464,21.32672119140625,32.19999999999999,9.34693877551021,3.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3432757353514,0.0,0.7986506319115892
102.0,316.0,140.91836734693877,229.0,198.60000000000002,115.0,25.918367346938766,114.0,83.60000000000002,59.30679702758789,0.0,1.0,1.0,1.0,59.30679702758789,83.60000000000002,25.918367346938766,59.206382751464844,83.60000000000002,25.918367346938766,4.0,0.0,1.0,0.0,1.0,2.0,1.0,0.5594640292279613,1.0,0.9997418155230976
109.0,300.0,135.0204081632653,186.0,165.0,115.0,20.0204081632653,71.0,50.0,32.094337463378906,0.0,1.0,1.0,1.0,31.907976150512695,50.0,20.0204081632653,32.094337463378906,50.0,20.0204081632653,5.0,0.0,1.0,0.0,1.0,2.0,1.0,0.674166151627321,1.0,0.9863864217955505
111.0,170.0,124.9795918367347,165.0,153.2,110.0,14.979591836734699,55.0,43.19999999999999,26.885793685913086,0.0,1.0,1.0,1.0,26.885793685913086,43.19999999999999,14.979591836734699,25.859039306640625,43.19999999999999,14.979591836734699,6.0,0.0,1.0,0.0,1.0,2.0,1.0,0.9402127418834503,1.0,0.9179546332532628
112.0,286.0,129.30612244897958,175.0,157.4,117.0,12.306122448979579,58.0,40.400000000000006,25.481115341186523,0.0,1.0,1.0,1.0,25.481115341186523,40.400000000000006,12.306122448979579,24.850387573242188,40.400000000000006,12.306122448979579,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5700877125495565,1.0,0.9501640598225176
116.0,260.0,153.6530612244898,255.0,199.40000000000003,114.0,39.65306122448979,141.0,85.40000000000003,73.50470733642578,0.0,1.0,1.0,1.0,72.90258026123047,85.40000000000003,39.65306122448979,73.50470733642578,85.40000000000003,39.65306122448979,8.0,0.0,1.0,0.0,1.0,2.0,1.0,0.4973932046178414,1.0,0.9999861120095411
119.0,202.0,135.12244897959184,215.0,164.2,117.0,18.122448979591837,98.0,47.19999999999999,36.7117919921875,0.0,1.0,1.0,1.0,36.7117919921875,47.19999999999999,18.122448979591837,36.27495574951172,49.19999999999999,19.775510204081627,9.0,0.0,1.0,0.0,1.0,2.0,1.0,1.2571793825862645,1.0,0.9904359350199732
