frame,predicted_count,truth_count,tp,fp,fn,error_score
1,93,93,73,20,20,40
9,86,89,70,16,19,35
52,85,114,84,1,30,31
53,82,87,69,13,18,31
5,90,91,75,15,16,31
10,88,108,83,5,25,30
3,89,89,75,14,14,28
78,93,116,91,2,25,27
87,91,105,85,6,20,26
0,92,98,82,10,16,26
4,92,111,89,3,22,25
60,86,85,73,13,12,25
51,82,85,72,10,13,23
81,80,82,70,10,12,22
8,96,94,84,12,10,22
49,85,89,77,8,12,20
48,79,73,66,13,7,20
88,77,94,76,1,18,19
40,85,92,79,6,13,19
50,91,88,80,11,8,19
20,99,117,99,0,18,18
80,60,68,55,5,13,18
79,80,82,72,8,10,18
82,85,88,78,7,10,17
12,97,104,93,4,11,15
30,86,85,78,8,7,15
11,84,79,74,10,5,15
70,92,85,81,11,4,15
2,89,98,87,2,11,13
86,79,82,74,5,8,13
