frame,predicted_count,truth_count,tp,fp,fn
0,107,98,87,20,11
1,111,93,88,23,5
2,109,98,96,13,2
3,100,89,83,17,6
4,107,111,81,26,30
5,101,91,84,17,7
8,105,94,91,14,3
9,101,89,76,25,13
10,104,108,82,22,26
11,98,79,78,20,1
12,108,104,94,14,10
20,117,117,103,14,14
30,100,85,83,17,2
40,106,92,86,20,6
48,94,73,73,21,0
49,102,89,85,17,4
50,112,88,83,29,5
51,98,85,77,21,8
52,95,114,90,5,24
53,97,87,74,23,13
60,103,85,83,20,2
70,112,85,82,30,3
78,103,116,92,11,24
79,97,82,80,17,2
80,82,68,65,17,3
81,95,82,76,19,6
82,99,88,82,17,6
86,91,82,77,14,5
87,107,105,88,19,17
88,97,94,76,21,18
