frame,droplet_count,mean_net_intensity,median_net_intensity,high_count,medium_count,low_count
0.0,107,53.712149532710285,47.50000000000003,41,35,31
1.0,111,53.88648648648649,48.19999999999999,47,33,31
2.0,109,52.84128440366973,47.80000000000001,47,31,31
3.0,100,54.12200000000001,49.500000000000014,49,29,22
4.0,107,52.167289719626176,47.19999999999999,46,27,34
5.0,101,51.46237623762377,47.400000000000006,41,30,30
6.0,106,53.441509433962274,48.70000000000003,46,34,26
7.0,103,51.11941747572816,46.80000000000001,39,40,24
8.0,105,53.289523809523814,48.0,45,30,30
9.0,101,49.318811881188125,44.19999999999999,32,33,36
10.0,104,52.05192307692308,46.650000000000006,42,37,25
11.0,98,47.77142857142857,42.599999999999994,29,26,43
12.0,108,53.292592592592605,48.30000000000001,50,34,24
13.0,108,52.35648148148149,48.50000000000003,44,39,25
14.0,106,53.128301886792464,48.19999999999999,48,29,29
15.0,106,52.66320754716982,48.099999999999994,47,31,28
16.0,93,51.41612903225807,46.80000000000001,36,30,27
17.0,96,49.95416666666667,48.35000000000001,39,26,31
18.0,107,52.065420560747675,46.60000000000002,38,41,28
19.0,112,51.621428571428574,46.349999999999994,42,35,35
20.0,117,52.51623931623932,47.19999999999999,46,33,38
21.0,115,52.104347826086965,47.400000000000034,45,36,34
22.0,112,52.509821428571435,47.650000000000006,49,36,27
23.0,116,51.062931034482766,46.400000000000006,44,36,36
24.0,121,51.81735537190083,48.5,49,36,36
25.0,109,52.22018348623854,45.400000000000006,42,34,33
26.0,108,50.5138888888889,45.900000000000006,44,33,31
27.0,110,50.01909090909091,46.900000000000006,43,37,30
28.0,102,48.04019607843138,42.40000000000002,31,30,41
29.0,101,51.37821782178219,49.19999999999999,42,31,28
30.0,100,48.956,44.500000000000014,34,34,32
31.0,97,49.34536082474228,46.19999999999999,37,34,26
32.0,82,45.52073170731708,43.349999999999994,23,28,31
33.0,96,51.79479166666667,48.19999999999999,39,27,30
34.0,102,51.43529411764706,46.50000000000003,42,33,27
35.0,96,48.69791666666668,43.849999999999994,31,32,33
36.0,92,47.46413043478262,43.60000000000002,27,35,30
37.0,101,53.188118811881196,46.400000000000006,45,31,25
38.0,104,48.001923076923084,44.30000000000001,35,33,36
39.0,106,48.88584905660378,45.500000000000014,33,40,33
40.0,106,48.38207547169812,44.0,39,24,43
41.0,105,47.933333333333344,43.80000000000001,34,32,39
42.0,101,51.94752475247525,47.0,40,38,23
43.0,97,50.40412371134021,46.60000000000002,35,35,27
44.0,103,46.91747572815534,42.5,31,32,40
45.0,96,46.21666666666667,43.400000000000034,33,27,36
46.0,107,48.814018691588785,45.5,33,33,41
47.0,106,46.89622641509435,42.900000000000006,26,42,38
48.0,94,46.13829787234044,42.80000000000001,21,37,36
49.0,102,49.097058823529416,44.150000000000006,33,32,37
50.0,112,49.658035714285724,45.55000000000001,37,40,35
51.0,98,45.737755102040815,42.0,25,32,41
52.0,95,49.46105263157895,45.60000000000002,30,33,32
53.0,97,49.92061855670103,44.0,38,24,35
54.0,79,43.25569620253165,41.0,18,24,37
55.0,64,41.946875000000006,39.19999999999999,11,16,37
56.0,90,45.881111111111125,42.2,23,29,38
57.0,101,49.152475247524755,44.400000000000006,28,40,33
58.0,84,43.25595238095239,40.900000000000006,19,29,36
59.0,85,46.56117647058824,42.80000000000001,20,35,30
60.0,103,49.00485436893205,45.0,34,34,35
61.0,101,48.33564356435644,45.0,29,39,33
62.0,110,49.19272727272728,45.250000000000014,33,46,31
63.0,103,50.38349514563107,46.80000000000001,38,38,27
64.0,96,47.135416666666664,41.400000000000006,28,33,35
65.0,103,50.5873786407767,46.0,36,37,30
66.0,99,49.337373737373746,45.19999999999999,30,36,33
67.0,97,45.00412371134021,40.69999999999999,27,24,46
68.0,92,46.67608695652175,43.099999999999994,25,35,32
69.0,107,47.379439252336454,43.5,30,35,42
70.0,112,48.182142857142864,43.95,32,41,39
71.0,98,47.737755102040815,44.05,30,34,34
72.0,101,48.46435643564357,44.400000000000006,28,40,33
73.0,96,48.71145833333333,44.099999999999994,33,32,31
74.0,97,50.17731958762887,44.60000000000002,35,31,31
75.0,93,47.696774193548386,43.20000000000002,26,35,32
76.0,85,45.530588235294125,41.60000000000002,21,29,35
77.0,97,47.292783505154645,43.0,26,35,36
78.0,103,49.779611650485435,45.0,34,37,32
79.0,97,48.85257731958764,44.400000000000034,34,25,38
80.0,82,44.29878048780488,40.099999999999994,21,19,42
81.0,95,46.77052631578948,44.60000000000002,25,35,35
82.0,99,49.04747474747475,44.70000000000002,37,22,40
83.0,95,48.28105263157895,44.0,26,34,35
84.0,84,45.676190476190484,41.30000000000001,21,24,39
85.0,83,44.14578313253013,42.80000000000001,15,38,30
86.0,91,45.12967032967034,41.60000000000002,23,29,39
87.0,107,47.942990654205616,42.400000000000034,32,39,36
88.0,97,47.794845360824745,43.69999999999999,29,37,31
