frame,predicted_count,truth_count,tp,fp,fn,error_score
4,107,111,81,26,30,56
10,104,108,82,22,26,48
88,97,94,76,21,18,39
9,101,89,76,25,13,38
87,107,105,88,19,17,36
53,97,87,74,23,13,36
78,103,116,92,11,24,35
50,112,88,83,29,5,34
70,112,85,82,30,3,33
0,107,98,87,20,11,31
52,95,114,90,5,24,29
51,98,85,77,21,8,29
20,117,117,103,14,14,28
1,111,93,88,23,5,28
40,106,92,86,20,6,26
81,95,82,76,19,6,25
12,108,104,94,14,10,24
5,101,91,84,17,7,24
3,100,89,83,17,6,23
82,99,88,82,17,6,23
60,103,85,83,20,2,22
49,102,89,85,17,4,21
11,98,79,78,20,1,21
48,94,73,73,21,0,21
80,82,68,65,17,3,20
86,91,82,77,14,5,19
30,100,85,83,17,2,19
79,97,82,80,17,2,19
8,105,94,91,14,3,17
2,109,98,96,13,2,15
