frame,droplet_count,mean_net_intensity,median_net_intensity,high_count,medium_count,low_count
0.0,87,57.89655172413794,50.10000000000002,37,27,23
1.0,93,57.208602150537644,50.20000000000002,35,37,21
2.0,91,56.44175824175825,50.80000000000001,38,32,21
3.0,88,56.73181818181819,51.70000000000002,41,26,21
4.0,91,55.12197802197802,50.20000000000002,38,28,25
5.0,90,53.70555555555556,49.8,32,32,26
6.0,89,57.02921348314607,51.19999999999999,41,29,19
7.0,90,53.52666666666667,47.70000000000002,31,36,23
8.0,95,55.37894736842106,49.0,38,30,27
9.0,83,52.43493975903615,47.60000000000002,28,23,32
10.0,87,55.17816091954024,49.400000000000006,37,32,18
11.0,84,50.06071428571429,44.70000000000002,25,24,35
12.0,96,55.413541666666674,50.650000000000006,40,32,24
13.0,96,54.431250000000006,49.500000000000014,37,33,26
14.0,89,56.69550561797753,51.20000000000002,42,27,20
15.0,90,55.985555555555564,51.500000000000014,42,27,21
16.0,85,52.88588235294119,47.60000000000002,33,25,27
17.0,80,52.968750000000014,50.099999999999994,30,29,21
18.0,96,53.97291666666667,47.80000000000001,32,36,28
19.0,98,54.14387755102041,48.60000000000002,37,32,29
20.0,99,55.687878787878795,49.400000000000034,40,33,26
21.0,99,54.84848484848486,49.19999999999999,40,32,27
22.0,94,55.584042553191495,50.500000000000014,41,37,16
23.0,102,53.4186274509804,49.0,39,30,33
24.0,106,54.12641509433963,50.0,42,33,31
25.0,94,54.868085106382985,48.10000000000001,38,29,27
26.0,96,52.43645833333334,48.30000000000001,39,23,34
27.0,95,52.258947368421055,48.60000000000002,34,29,32
28.0,86,50.465116279069775,46.10000000000001,28,22,36
29.0,84,54.31666666666667,50.400000000000006,32,33,19
30.0,83,51.40843373493976,48.80000000000001,32,23,28
31.0,81,52.31604938271605,49.0,28,28,25
32.0,73,46.96027397260274,44.19999999999999,20,23,30
33.0,83,54.265060240963855,49.69999999999999,32,27,24
34.0,87,54.49310344827587,50.0,33,32,22
35.0,79,51.56708860759495,46.400000000000006,28,23,28
36.0,78,49.5871794871795,45.19999999999999,22,27,29
37.0,89,55.621348314606756,50.400000000000006,39,27,23
38.0,89,50.50786516853933,45.900000000000006,30,30,29
39.0,85,51.94117647058823,48.60000000000002,28,34,23
40.0,84,51.99166666666667,49.05,33,22,29
41.0,90,49.97444444444445,46.30000000000001,27,29,34
42.0,93,53.43763440860216,47.80000000000001,32,35,26
43.0,87,52.13563218390805,48.19999999999999,30,32,25
44.0,84,49.43571428571429,44.7,25,24,35
45.0,79,48.4493670886076,48.19999999999999,24,26,29
46.0,87,52.07011494252874,48.80000000000001,28,34,25
47.0,86,49.47558139534885,46.25,23,30,33
48.0,78,48.198717948717956,43.80000000000001,18,26,34
49.0,88,51.23636363636364,46.099999999999994,28,27,33
50.0,91,52.761538461538464,48.0,32,34,25
51.0,84,47.602380952380955,43.099999999999994,20,25,39
52.0,86,51.10232558139535,46.900000000000006,27,30,29
53.0,79,53.02151898734178,50.0,36,16,27
54.0,62,45.14516129032259,42.650000000000006,16,15,31
55.0,45,44.92666666666667,42.0,8,14,23
56.0,72,48.35277777777779,44.900000000000006,19,25,28
57.0,81,52.49629629629631,47.19999999999999,27,29,25
58.0,66,45.468181818181826,41.849999999999994,16,15,35
59.0,71,48.59577464788733,45.400000000000006,17,24,30
60.0,84,52.46428571428572,48.400000000000006,28,30,26
61.0,85,50.645882352941186,47.60000000000002,25,33,27
62.0,101,50.41287128712872,46.400000000000006,24,41,36
63.0,91,52.345054945054954,48.60000000000002,28,37,26
64.0,81,49.51481481481482,44.19999999999999,26,20,35
65.0,95,52.04210526315789,47.60000000000002,33,29,33
66.0,83,52.50963855421687,47.30000000000001,27,32,24
67.0,74,48.270270270270274,43.40000000000002,21,19,34
68.0,74,49.28783783783785,45.20000000000002,22,23,29
69.0,85,50.322352941176476,45.60000000000002,28,26,31
70.0,88,51.3909090909091,46.75,26,33,29
71.0,80,50.50750000000001,45.900000000000006,27,26,27
72.0,91,50.12307692307693,45.60000000000002,27,30,34
73.0,86,50.24418604651163,46.30000000000001,25,28,33
74.0,88,51.404545454545456,45.650000000000006,29,25,34
75.0,78,50.02564102564103,43.94999999999999,22,28,28
76.0,72,47.51666666666667,43.3,17,20,35
77.0,81,49.872839506172845,45.80000000000001,24,26,31
78.0,88,52.354545454545466,47.000000000000014,32,27,29
79.0,78,52.24358974358975,46.500000000000014,30,23,25
80.0,62,47.27741935483871,43.80000000000001,17,16,29
81.0,77,49.52467532467533,47.0,22,32,23
82.0,84,51.590476190476195,47.900000000000006,31,24,29
83.0,87,49.342528735632186,44.5,23,28,36
84.0,69,47.652173913043484,43.0,17,19,33
85.0,73,45.471232876712335,44.0,14,27,32
86.0,81,46.369135802469145,42.400000000000006,16,24,41
87.0,88,50.37159090909092,46.250000000000014,29,23,36
88.0,77,50.6935064935065,45.0,22,30,25
