small_sigma,big_sigma,threshold_abs,min_distance,min_net_intensity_p90,min_net_intensity_mean,precision,recall,f1,tp,fp,fn,count_mae,annotated_frames,balanced_score
1.2,11.0,20.5,5,29.0,11.0,0.9605095541401274,0.8195652173913044,0.8844574780058652,754,31,166,13.5,10,0.8709574780058652
1.2,11.0,20.5,4,29.0,11.0,0.9580152671755725,0.8184782608695652,0.8827667057444314,753,33,167,13.4,10,0.8693667057444314
1.2,11.0,20.5,5,30.0,11.0,0.9591836734693877,0.8173913043478261,0.8826291079812206,752,32,168,13.6,10,0.8690291079812207
1.2,7.0,20.0,5,29.0,11.0,0.9567979669631512,0.8184782608695652,0.8822495606326889,753,34,167,13.3,10,0.8689495606326889
1.2,9.0,20.0,5,29.0,11.0,0.949748743718593,0.8217391304347826,0.8811188811188811,756,40,164,12.4,10,0.8687188811188812
1.2,11.0,19.5,5,33.0,11.0,0.9440298507462687,0.825,0.8805104408352666,759,45,161,11.8,10,0.8687104408352666
1.2,7.0,18.0,5,33.0,10.0,0.9024110218140069,0.8543478260869565,0.8777219430485763,786,85,134,9.1,10,0.8686219430485763
1.2,7.0,20.0,5,24.0,11.0,0.9555837563451777,0.8184782608695652,0.8817330210772834,753,35,167,13.2,10,0.8685330210772834
1.2,7.0,20.0,5,26.0,11.0,0.9555837563451777,0.8184782608695652,0.8817330210772834,753,35,167,13.2,10,0.8685330210772834
1.2,7.0,20.0,5,28.0,11.0,0.9555837563451777,0.8184782608695652,0.8817330210772834,753,35,167,13.2,10,0.8685330210772834
1.2,11.0,20.5,5,31.0,11.0,0.9591315453384419,0.816304347826087,0.881972988843218,751,32,169,13.7,10,0.8682729888432179
1.2,11.0,20.5,5,32.0,11.0,0.9591315453384419,0.816304347826087,0.881972988843218,751,32,169,13.7,10,0.8682729888432179
1.2,11.0,20.5,6,29.0,11.0,0.9591315453384419,0.816304347826087,0.881972988843218,751,32,169,13.7,10,0.8682729888432179
1.2,7.0,18.0,5,32.0,10.0,0.8976109215017065,0.8576086956521739,0.877153974430239,789,90,131,8.9,10,0.868253974430239
1.2,7.0,20.0,6,29.0,11.0,0.9567430025445293,0.8173913043478261,0.8815943728018758,752,34,168,13.4,10,0.8681943728018758
1.2,11.0,21.0,5,31.0,10.0,0.9543726235741445,0.8184782608695652,0.8812170860152135,753,36,167,13.1,10,0.8681170860152135
1.2,11.0,21.0,5,32.0,10.0,0.9543726235741445,0.8184782608695652,0.8812170860152135,753,36,167,13.1,10,0.8681170860152135
1.2,7.0,18.0,5,30.0,11.0,0.9222488038277512,0.8380434782608696,0.878132118451025,771,65,149,10.2,10,0.867932118451025
1.2,7.0,18.0,6,33.0,10.0,0.9022988505747126,0.8532608695652174,0.8770949720670391,785,85,135,9.2,10,0.8678949720670391
1.2,7.0,18.0,5,31.0,10.0,0.8965909090909091,0.8576086956521739,0.8766666666666667,789,91,131,8.8,10,0.8678666666666667
1.2,7.0,20.0,6,24.0,11.0,0.9555273189326556,0.8173913043478261,0.8810779144698302,752,35,168,13.3,10,0.8677779144698302
1.2,7.0,20.0,6,26.0,11.0,0.9555273189326556,0.8173913043478261,0.8810779144698302,752,35,168,13.3,10,0.8677779144698302
1.2,7.0,20.0,6,28.0,11.0,0.9555273189326556,0.8173913043478261,0.8810779144698302,752,35,168,13.3,10,0.8677779144698302
1.2,11.0,20.5,5,24.0,11.0,0.9555273189326556,0.8173913043478261,0.8810779144698302,752,35,168,13.3,10,0.8677779144698302
1.2,11.0,20.5,5,26.0,11.0,0.9555273189326556,0.8173913043478261,0.8810779144698302,752,35,168,13.3,10,0.8677779144698302
1.2,11.0,20.5,5,28.0,11.0,0.9555273189326556,0.8173913043478261,0.8810779144698302,752,35,168,13.3,10,0.8677779144698302
1.2,9.0,18.0,5,30.0,11.0,0.9170616113744076,0.841304347826087,0.8775510204081632,774,70,146,9.8,10,0.8677510204081632
1.2,11.0,20.5,5,33.0,10.0,0.9405204460966543,0.825,0.8789808917197452,759,48,161,11.3,10,0.8676808917197453
1.2,7.0,18.0,4,32.0,10.0,0.8965909090909091,0.8576086956521739,0.8766666666666667,789,91,131,9.0,10,0.8676666666666667
1.2,7.0,18.0,5,32.0,11.0,0.9232613908872902,0.8369565217391305,0.877993158494869,770,64,150,10.4,10,0.8675931584948691
1.2,7.0,18.0,6,32.0,10.0,0.89749430523918,0.8565217391304348,0.8765294771968855,788,90,132,9.0,10,0.8675294771968854
1.2,7.0,18.0,5,33.0,11.0,0.9264173703256936,0.8347826086956521,0.8782161234991424,768,61,152,10.7,10,0.8675161234991423
1.2,11.0,20.5,5,33.0,11.0,0.959079283887468,0.8152173913043478,0.8813160987074029,750,32,170,13.8,10,0.8675160987074029
1.2,11.0,20.5,4,30.0,11.0,0.956687898089172,0.816304347826087,0.8809384164222874,751,34,169,13.5,10,0.8674384164222875
1.2,9.0,18.0,5,32.0,11.0,0.9180522565320665,0.8402173913043478,0.8774120317820658,773,69,147,10.0,10,0.8674120317820658
1.2,7.0,20.0,4,29.0,11.0,0.9543147208121827,0.8173913043478261,0.8805620608899298,752,36,168,13.2,10,0.8673620608899298
1.2,11.0,21.0,5,33.0,10.0,0.9543147208121827,0.8173913043478261,0.8805620608899298,752,36,168,13.2,10,0.8673620608899298
1.2,11.0,20.5,5,31.0,9.0,0.921968787515006,0.8347826086956521,0.8762122076440388,768,65,152,8.9,10,0.8673122076440388
1.2,11.0,20.0,5,33.0,10.0,0.9283980582524272,0.8315217391304348,0.8772935779816514,765,59,155,10.0,10,0.8672935779816514
1.2,7.0,18.0,4,31.0,10.0,0.8955732122587968,0.8576086956521739,0.8761799000555247,789,92,131,8.9,10,0.8672799000555247
1.2,9.0,19.5,5,33.0,11.0,0.9438902743142145,0.8228260869565217,0.8792102206736353,757,45,163,12.0,10,0.8672102206736353
1.2,7.0,18.0,5,31.0,11.0,0.9221556886227545,0.8369565217391305,0.8774928774928775,770,65,150,10.3,10,0.8671928774928775
1.2,7.0,18.0,6,30.0,11.0,0.9221556886227545,0.8369565217391305,0.8774928774928775,770,65,150,10.3,10,0.8671928774928775
1.2,7.0,18.0,6,31.0,10.0,0.8964732650739476,0.8565217391304348,0.8760422456920511,788,91,132,8.9,10,0.8671422456920511
1.2,9.0,20.0,4,29.0,11.0,0.9473023839397742,0.8206521739130435,0.8794408852649971,755,42,165,12.3,10,0.8671408852649971
1.2,11.0,19.5,4,33.0,11.0,0.9416149068322981,0.8239130434782609,0.878840579710145,758,47,162,11.7,10,0.8671405797101449
1.2,7.0,20.0,5,30.0,11.0,0.955470737913486,0.816304347826087,0.88042203985932,751,35,169,13.4,10,0.86702203985932
1.2,9.0,20.5,5,29.0,11.0,0.955470737913486,0.816304347826087,0.88042203985932,751,35,169,13.4,10,0.86702203985932
1.2,11.0,18.0,5,30.0,11.0,0.9158767772511849,0.8402173913043478,0.8764172335600907,773,71,147,9.4,10,0.8670172335600907
1.2,9.0,18.0,5,31.0,11.0,0.9169632265717675,0.8402173913043478,0.8769143505388542,773,70,147,9.9,10,0.8670143505388542
1.2,7.0,20.0,4,24.0,11.0,0.9531051964512041,0.8173913043478261,0.8800468110005851,752,37,168,13.1,10,0.8669468110005851
1.2,7.0,20.0,4,26.0,11.0,0.9531051964512041,0.8173913043478261,0.8800468110005851,752,37,168,13.1,10,0.8669468110005851
1.2,7.0,20.0,4,28.0,11.0,0.9531051964512041,0.8173913043478261,0.8800468110005851,752,37,168,13.1,10,0.8669468110005851
1.2,7.0,18.0,4,33.0,10.0,0.9002293577981652,0.8532608695652174,0.8761160714285714,785,87,135,9.2,10,0.8669160714285714
1.2,7.0,18.0,6,32.0,11.0,0.9231692677070829,0.8358695652173913,0.8773531089560753,769,64,151,10.5,10,0.8668531089560754
1.2,9.0,20.0,5,30.0,11.0,0.9484276729559749,0.8195652173913044,0.8793002915451895,754,41,166,12.5,10,0.8668002915451896
1.2,7.0,18.0,6,33.0,11.0,0.9263285024154589,0.8336956521739131,0.8775743707093823,767,61,153,10.8,10,0.8667743707093822
1.2,9.0,18.0,5,29.0,11.0,0.9148936170212766,0.841304347826087,0.8765571913929785,774,72,146,9.8,10,0.8667571913929785
1.2,7.0,19.5,5,29.0,11.0,0.9461152882205514,0.8206521739130435,0.8789289871944121,755,43,165,12.2,10,0.8667289871944122
1.2,11.0,20.5,4,31.0,11.0,0.9566326530612245,0.8152173913043478,0.880281690140845,750,34,170,13.6,10,0.8666816901408451
1.2,11.0,20.5,4,32.0,11.0,0.9566326530612245,0.8152173913043478,0.880281690140845,750,34,170,13.6,10,0.8666816901408451
1.2,11.0,18.0,5,32.0,11.0,0.9168646080760094,0.8391304347826087,0.8762769580022702,772,70,148,9.6,10,0.8666769580022702
1.2,11.0,20.5,6,31.0,9.0,0.9240048250904704,0.8326086956521739,0.8759291023441967,766,63,154,9.3,10,0.8666291023441968
1.2,9.0,20.5,5,24.0,11.0,0.9542566709021602,0.816304347826087,0.8799062683069713,751,36,169,13.3,10,0.8666062683069713
1.2,9.0,20.5,5,26.0,11.0,0.9542566709021602,0.816304347826087,0.8799062683069713,751,36,169,13.3,10,0.8666062683069713
1.2,9.0,20.5,5,28.0,11.0,0.9542566709021602,0.816304347826087,0.8799062683069713,751,36,169,13.3,10,0.8666062683069713
1.2,11.0,21.0,4,31.0,10.0,0.9518987341772152,0.8173913043478261,0.8795321637426902,752,38,168,13.0,10,0.8665321637426902
1.2,11.0,21.0,4,32.0,10.0,0.9518987341772152,0.8173913043478261,0.8795321637426902,752,38,168,13.0,10,0.8665321637426902
1.2,7.0,18.0,5,30.0,10.0,0.8935447338618346,0.8576086956521739,0.8752079866888519,789,94,131,8.7,10,0.8665079866888519
1.2,11.0,20.5,5,31.0,10.0,0.937037037037037,0.825,0.877456647398844,759,51,161,11.0,10,0.866456647398844
1.2,11.0,20.5,5,32.0,10.0,0.937037037037037,0.825,0.877456647398844,759,51,161,11.0,10,0.866456647398844
1.2,7.0,18.0,6,31.0,11.0,0.9220623501199041,0.8358695652173913,0.8768529076396807,769,65,151,10.4,10,0.8664529076396807
1.2,7.0,18.0,4,30.0,11.0,0.9199522102747909,0.8369565217391305,0.8764940239043825,770,67,150,10.1,10,0.8663940239043825
1.2,11.0,20.5,6,30.0,11.0,0.9578005115089514,0.8141304347826087,0.8801410105757933,749,33,171,13.8,10,0.8663410105757933
1.2,7.0,19.5,5,24.0,11.0,0.9449311639549437,0.8206521739130435,0.8784176847004072,755,44,165,12.1,10,0.8663176847004072
1.2,7.0,19.5,5,26.0,11.0,0.9449311639549437,0.8206521739130435,0.8784176847004072,755,44,165,12.1,10,0.8663176847004072
1.2,7.0,19.5,5,28.0,11.0,0.9449311639549437,0.8206521739130435,0.8784176847004072,755,44,165,12.1,10,0.8663176847004072
1.2,11.0,18.0,5,31.0,11.0,0.9157769869513642,0.8391304347826087,0.8757799205899036,772,71,148,9.5,10,0.8662799205899037
1.2,7.0,20.0,5,31.0,11.0,0.9554140127388535,0.8152173913043478,0.879765395894428,750,35,170,13.5,10,0.8662653958944281
1.2,7.0,20.0,5,32.0,11.0,0.9554140127388535,0.8152173913043478,0.879765395894428,750,35,170,13.5,10,0.8662653958944281
1.2,7.0,20.0,6,30.0,11.0,0.9554140127388535,0.8152173913043478,0.879765395894428,750,35,170,13.5,10,0.8662653958944281
1.2,11.0,19.5,5,30.0,11.0,0.937037037037037,0.825,0.877456647398844,759,51,161,11.2,10,0.866256647398844
1.2,9.0,18.0,4,30.0,11.0,0.914792899408284,0.8402173913043478,0.8759206798866855,773,72,147,9.7,10,0.8662206798866855
1.2,11.0,20.5,4,24.0,11.0,0.9530456852791879,0.816304347826087,0.8793911007025762,751,37,169,13.2,10,0.8661911007025762
1.2,11.0,20.5,4,26.0,11.0,0.9530456852791879,0.816304347826087,0.8793911007025762,751,37,169,13.2,10,0.8661911007025762
1.2,11.0,20.5,4,28.0,11.0,0.9530456852791879,0.816304347826087,0.8793911007025762,751,37,169,13.2,10,0.8661911007025762
1.2,11.0,21.0,6,31.0,10.0,0.9530456852791879,0.816304347826087,0.8793911007025762,751,37,169,13.2,10,0.8661911007025762
1.2,11.0,21.0,6,32.0,10.0,0.9530456852791879,0.816304347826087,0.8793911007025762,751,37,169,13.2,10,0.8661911007025762
1.2,11.0,20.5,4,33.0,10.0,0.9381188118811881,0.8239130434782609,0.8773148148148149,758,50,162,11.2,10,0.8661148148148149
1.2,7.0,18.0,4,32.0,11.0,0.9209580838323354,0.8358695652173913,0.8763532763532763,769,66,151,10.3,10,0.8660532763532763
1.2,9.0,18.0,5,33.0,11.0,0.9209580838323354,0.8358695652173913,0.8763532763532763,769,66,151,10.3,10,0.8660532763532763
1.2,7.0,20.0,5,31.0,10.0,0.935881627620222,0.825,0.8769497400346621,759,52,161,10.9,10,0.8660497400346621
1.2,7.0,20.0,5,32.0,10.0,0.935881627620222,0.825,0.8769497400346621,759,52,161,10.9,10,0.8660497400346621
1.2,11.0,19.5,6,33.0,11.0,0.942643391521197,0.8217391304347826,0.8780487804878049,756,46,164,12.0,10,0.8660487804878049
1.2,9.0,20.0,5,31.0,11.0,0.9483627204030227,0.8184782608695652,0.8786464410735123,753,41,167,12.6,10,0.8660464410735123
1.2,9.0,20.0,5,32.0,11.0,0.9483627204030227,0.8184782608695652,0.8786464410735123,753,41,167,12.6,10,0.8660464410735123
1.2,9.0,20.0,6,29.0,11.0,0.9483627204030227,0.8184782608695652,0.8786464410735123,753,41,167,12.6,10,0.8660464410735123
1.2,11.0,18.0,5,29.0,11.0,0.9137115839243499,0.8402173913043478,0.8754246885617214,773,73,147,9.4,10,0.8660246885617214
1.2,7.0,19.5,6,29.0,11.0,0.946047678795483,0.8195652173913044,0.8782760629004076,754,43,166,12.3,10,0.8659760629004076
