frame,predicted_count,truth_count,tp,fp,fn
0,92,98,82,10,16
1,93,93,73,20,20
2,89,98,87,2,11
3,89,89,75,14,14
4,92,111,89,3,22
5,90,91,75,15,16
8,96,94,84,12,10
9,86,89,70,16,19
10,88,108,83,5,25
11,84,79,74,10,5
12,97,104,93,4,11
20,99,117,99,0,18
30,86,85,78,8,7
40,85,92,79,6,13
48,79,73,66,13,7
49,85,89,77,8,12
50,91,88,80,11,8
51,82,85,72,10,13
52,85,114,84,1,30
53,82,87,69,13,18
60,86,85,73,13,12
70,92,85,81,11,4
78,93,116,91,2,25
79,80,82,72,8,10
80,60,68,55,5,13
81,80,82,70,10,12
82,85,88,78,7,10
86,79,82,74,5,8
87,91,105,85,6,20
88,77,94,76,1,18
